"YEARMONTH","CPI","PPI","LCI","CCI","ACOAL_PRICE","BCOAL_PRICE","OIL_PRICE","LNG_PRICE","DEMAND_PREDICTION"
201501,94.643,100.89,82.3,87.5,162271.25,98049.18,815310.25,1028839.2,50320
201502,94.587,100.96,82.6,88.1,165530,97760,778378,1032286,43180
201503,94.596,100.84,83.1,88.1,160095.9,96245.05,677011.4,976448.2,47090
201504,94.625,100.8,83.5,88.3,162117.05,91999.82,624149.06,918683.56,42280
201505,94.89,100.87,83.9,88.1,172542.25,91080.79,615076,944098.1,41880
201506,94.909,100.82,84.1,88.3,166185.11,89810.75,578703,825946.25,41990
201507,95.08,100.45,84.3,88.5,168159,86218.016,605913.75,690088.5,45030
201508,95.213,99.83,84.5,89.2,168824.31,87525.29,602879.9,671143.25,45440
201509,94.966,99.39,85,90,161223.4,91853.4,604292.3,697256.94,40830
201510,94.966,98.71,85.3,90.7,155735.02,92118.29,593678.25,732025.9,43620
201511,94.786,98.32,85.5,90.8,155800.73,92473.07,496243.66,735578.6,44330
201512,95.07,98.09,85.5,91,155651.17,91484.58,508400.84,736156.2,50330
201601,95.232,97.56,85.6,90.9,149349.95,88569.71,501581.06,680118.75,49690
201602,95.64,97.56,85.7,91.1,159329.58,87439.07,475604.72,699987.44,44360
201603,95.393,97.5,86,91.1,157915.08,86731.15,426253.44,692828.7,46440
201604,95.573,97.74,86.3,91.2,158004.69,86449.766,436393.5,670235.44,42020
201605,95.63,97.86,86.6,91.8,155658.69,87268.97,453353.1,648085.94,42300
201606,95.611,98.09,86.8,92.2,156251.55,87702.39,447410.4,535616,42210
201607,95.431,97.98,87.2,92.6,156515.55,87798.52,459701.62,500966.5,45160
201608,95.677,98.07,87.6,93,153647.7,87469.4,494192.03,513697.78,45910
201609,96.247,98.3,88,93.1,159436.83,90552.66,503560.12,528592.7,41100
201610,96.379,98.59,88.4,93.2,155706.64,88306.445,473728.3,551891.56,43020
201611,96.237,99.03,88.8,93.7,153998.11,89881.05,475498.12,555807.4,44830
201612,96.342,99.9,89.2,94.1,160987.66,94926.195,495351.38,565523.9,50050
201701,97.366,101.35,89.7,94.7,166867.72,107948.414,509261.25,585906.75,49380
201702,97.632,101.74,90.1,95,181667.05,113747.97,515623.3,651779.44,45350
201703,97.565,101.7,90.5,95.4,175212.14,127554.21,573328.25,687013.1,47010
