"STN","OBS_DATE","TA_AVG","SI_DAY"
98,"2023-06-14",19.5,18.35
98,"2023-06-15",21.7,26.29
98,"2023-06-16",22.7,28.55
98,"2023-06-17",22.9,27
98,"2023-06-18",24.6,26.08
98,"2023-06-19",26.6,25.5
98,"2023-06-20",22.9,6.67
98,"2023-06-21",19,6.28
98,"2023-06-22",20.6,16.61
98,"2023-06-23",22.5,18.7
98,"2023-06-24",24.9,26.13
98,"2023-06-25",26.4,24.61
98,"2023-06-26",22.9,2.39
98,"2023-06-27",23.1,15.86
98,"2023-06-28",25,20.01
98,"2023-06-29",23.5,2.43
98,"2023-06-30",24.5,18.78
98,"2023-07-01",26.6,26.62
98,"2023-07-02",25.8,21.14
98,"2023-07-03",27.3,26.2
98,"2023-07-04",25.1,9.62
98,"2023-07-05",23.5,17.76
98,"2023-07-06",26.2,22.11
98,"2023-07-07",25.6,25.48
98,"2023-07-08",25.1,21.42
98,"2023-07-09",23.7,10.58
98,"2023-07-10",26.1,19.67
98,"2023-07-11",22.3,2.82
98,"2023-07-12",24.6,12.16
98,"2023-07-13",24.2,3.65
98,"2023-07-14",24.1,1.35
98,"2023-07-15",24.1,2.03
98,"2023-07-16",23.5,5.59
98,"2023-07-17",23.6,7.29
98,"2023-07-18",24.6,12.14
98,"2023-07-19",26.3,27.09
98,"2023-07-20",26.8,24.38
98,"2023-07-21",27.6,24.5
98,"2023-07-22",26.5,20.85
98,"2023-07-23",24.2,2.88
98,"2023-07-24",26.1,15.29
98,"2023-07-25",26.4,18.29
98,"2023-07-26",25.1,17.21
98,"2023-07-27",27.5,22.41
98,"2023-07-28",27.4,21.86
98,"2023-07-29",27.3,20.74
98,"2023-07-30",28.1,24.03
98,"2023-07-31",27.9,22.37
98,"2023-08-01",28.6,24.02
98,"2023-08-02",27.6,20.37
98,"2023-08-03",27.4,23.58
98,"2023-08-04",27.9,23.89
98,"2023-08-05",28.2,21.37
98,"2023-08-06",28.5,16.26
98,"2023-08-07",28.3,19.96
98,"2023-08-08",28.6,22.39
98,"2023-08-09",25.5,12.41
98,"2023-08-10",21.1,2.68
98,"2023-08-11",21.9,3.96
98,"2023-08-12",22.6,6.65
98,"2023-08-13",25.5,15.11
98,"2023-08-14",26.7,22.71
98,"2023-08-15",26.5,18.81
98,"2023-08-16",25.9,18.19
98,"2023-08-17",26.5,21.24
98,"2023-08-18",27.3,19.2
98,"2023-08-19",27.9,20.98
98,"2023-08-20",26.5,13.65
98,"2023-08-21",27.4,16.36
98,"2023-08-22",25.9,10.24
98,"2023-08-23",23.4,2.18
98,"2023-08-24",23.5,9.33
98,"2023-08-25",25.5,21.7
98,"2023-08-26",24.1,17.71
98,"2023-08-27",24.1,11.86
98,"2023-08-28",21.9,3.45
98,"2023-08-29",22.8,2.97
98,"2023-08-30",22.1,9.08
98,"2023-08-31",22.5,18.62
98,"2023-09-01",22,22.39
98,"2023-09-02",22.6,21.97
98,"2023-09-03",24,11.85
98,"2023-09-04",25.4,13.33
98,"2023-09-05",26.4,22.42
98,"2023-09-06",25.3,17.96
98,"2023-09-07",23.5,23.55
98,"2023-09-08",22.4,22.72
98,"2023-09-09",23.7,22.27
98,"2023-09-10",23.5,15.64
98,"2023-09-11",23.8,18.62
98,"2023-09-12",23.3,16.12
98,"2023-09-13",20.3,3.48
98,"2023-09-14",21.8,12.98
98,"2023-09-15",21.5,5.77
98,"2023-09-16",23.1,7.77
98,"2023-09-17",23.6,13.65
98,"2023-09-18",23.5,15.29
98,"2023-09-19",22.8,9.22
98,"2023-09-20",19.8,3.63
98,"2023-09-21",18.2,11.04
98,"2023-09-22",17.7,20.12
98,"2023-09-23",19.6,18.71
98,"2023-09-24",19.5,18.27
98,"2023-09-25",19.7,12.94
98,"2023-09-26",19.4,3.81
98,"2023-09-27",20.5,5.73
98,"2023-09-28",21.2,15.14
98,"2023-09-29",18.9,15.47
98,"2023-09-30",17.9,7.17
98,"2023-10-01",15.9,19.51
98,"2023-10-02",15.4,18.73
98,"2023-10-03",15.2,11.35
98,"2023-10-04",14.8,9.82
98,"2023-10-05",13.2,19.2
98,"2023-10-06",12.6,14.77
98,"2023-10-07",14.3,12.49
98,"2023-10-08",15.4,7.05
98,"2023-10-09",15.6,12.34
98,"2023-10-10",14.4,16.32
98,"2023-10-11",15,17.12
98,"2023-10-12",15.3,15.97
98,"2023-10-13",15.5,9.63
98,"2023-10-14",12.3,5.05
98,"2023-10-15",13.5,11.82
98,"2023-10-16",12.7,16.57
98,"2023-10-17",10.9,16.76
98,"2023-10-18",13.9,12.85
98,"2023-10-19",16.1,6.03
98,"2023-10-20",10.8,16.87
98,"2023-10-21",8.4,15.86
98,"2023-10-22",9.9,12.66
98,"2023-10-23",12.6,9.96
98,"2023-10-24",13.8,10.75
98,"2023-10-25",14.9,10.44
98,"2023-10-26",14.7,4.01
98,"2023-10-27",13.5,11.79
98,"2023-10-28",11.4,14.41
98,"2023-10-29",11.9,14.15
98,"2023-10-30",12.7,13.29
98,"2023-10-31",14.8,10.24
98,"2023-11-01",18.2,2.97
98,"2023-11-02",19.9,9.64
98,"2023-11-03",18,3.31
98,"2023-11-04",15.7,8.84
98,"2023-11-05",16.5,3.01
